"Status","Video ID","Summary","BCA Score","URL"
"✅","GFS-DtT2wtM","A high-conflict debate between Jordan Peterson and a feminist interviewer focusing on the intersection of biblical interpretation and gender equality.","-70.0","https://www.youtube.com/shorts/GFS-DtT2wtM"
"✅","oberjZKVLLQ","A short-form video featuring Andrew Tate critiquing modern architectural choices, specifically the prevalence of glass buildings, likely framed within a broader narrative of traditionalism versus modern societal decay.","-70.0","https://www.youtube.com/shorts/oberjZKVLLQ"
"✅","6u1uIcQK8qg","A high-energy short-form video featuring Andrew Tate promoting a philosophy of constant labor and relentless discipline.","-70.0","https://www.youtube.com/watch?v=6u1uIcQK8qg"
"✅","AOQghrebUn0","A YouTube Shorts compilation featuring conservative commentator Charlie Kirk engaging in political debates with young audiences.","-80.0","https://www.youtube.com/shorts/AOQghrebUn0"
"✅","XGwM60Ph6e4","The content focuses on the confrontational debate style of conservative activist Charlie Kirk, presented by Brut India. It highlights the intersection of political polarization and digital media consumption.","-84.0","https://www.youtube.com/shorts/XGwM60Ph6e4"
"✅","0-cL90mSPck","An analysis of the public and digital reaction to Jordan Peterson's interview with Benjamin Netanyahu, highlighting the controversy surrounding the interview style and the geopolitical implications of their dialogue.","-84.0","https://www.youtube.com/shorts/0-cL90mSPck"
"✅","tm9WXKbIhQs","A short-form motivational video featuring Andrew Tate emphasizing the importance of a support network and collective effort in achieving success, framed within his typical high-intensity rhetorical style.","-84.0","https://www.youtube.com/shorts/tm9WXKbIhQs"
"✅","MEZuuEgz7pU","A high-sensation promotional video targeting aspiring content creators with promises of rapid wealth through specific YouTube Shorts niches for the upcoming year.","-84.0","https://www.youtube.com/watch?v=MEZuuEgz7pU"
"✅","1_NVkKMIGNM","A video documenting a large-scale gathering at Dillon's Rodeo Ranch in Arizona, framed as a 'Charlie Kirk memorial' to leverage viral engagement and political interest.","-84.0","https://www.youtube.com/shorts/1_NVkKMIGNM"
"✅","nZqsqK6XWEk","A high-conflict political debate video featuring a controversial figure against a group, designed for maximum engagement through ideological friction and the 'one vs. many' archetype.","-90.0","https://www.youtube.com/shorts/nZqsqK6XWEk"
"✅","nNfDr18C6H4","A high-conflict political debate between Charlie Kirk and a student regarding the Israel-Palestine conflict, characterized by adversarial rhetoric and performative argumentation.","-90.0","https://www.youtube.com/shorts/nNfDr18C6H4"
"✅","eeNuJE3ik2w","A comparative critique of anti-Zionist rhetoric from Dave Smith and Candace Owens, framed as a warning about the relative 'danger' of their respective ideologies within the current geopolitical climate.","-90.0","https://www.youtube.com/shorts/eeNuJE3ik2w"
"✅","O_egG6-npoI","A compilation of nine rhetorical arguments used by conservative activist Charlie Kirk during public debates on controversial American political topics.","-90.0","https://www.youtube.com/shorts/O_egG6-npoI"
"✅","Q5ExWvoqpYc","Cathy Newman discusses the severe online harassment and death threats she received following her viral interview with Jordan Peterson, advocating for stricter social media legislation.","-90.0","https://www.youtube.com/shorts/Q5ExWvoqpYc"
"✅","rxh0--XnQ1E","A compilation video featuring political commentator Charlie Kirk engaging in high-conflict debates with college students, specifically targeting the perceived lack of value and ideological bias in higher education.","-90.0","https://www.youtube.com/shorts/rxh0--XnQ1E"
"✅","qIKNikg-fwM","A compilation of confrontational political debates featuring Charlie Kirk on college campuses, utilizing sensationalist framing to highlight ideological conflict.","-90.0","https://www.youtube.com/watch?v=qIKNikg-fwM"
"✅","ruccNaEhWPE","A high-energy, click-driven guide promising financial success through specific YouTube Shorts niches for the year 2025.","-90.0","https://www.youtube.com/watch?v=ruccNaEhWPE"
"✅","zwM-XPqfkco","A confrontational segment from the New Jersey gubernatorial debate characterized by personal attacks and emotional rhetoric between candidates.","-110.0","https://www.youtube.com/shorts/zwM-XPqfkco"
"✅","LQbmA3PfRFg","A compilation of high-stakes, confrontational political debates featuring Charlie Kirk, utilizing sensationalist framing and 'outrage architecture' to drive engagement.","-110.0","https://www.youtube.com/watch?v=LQbmA3PfRFg"
"✅","yWEIHOYXi-E","A highly sensationalized political debate clip featuring Charlie Kirk and a college student, framed through a 'win-loss' lens to maximize engagement and partisan confirmation bias.","-130.0","https://www.youtube.com/shorts/yWEIHOYXi-E"
"✅","ni6jvw-K3Os","A high-impact news snippet featuring Ukrainian President Volodymyr Zelenskyy reporting specific Russian military casualty figures during an interview with Piers Morgan.","-130.0","https://m.youtube.com/shorts/ni6jvw-K3Os"
"✅","1DVelujW0Kg","A high-conflict political debate snippet featuring Charlie Kirk at Texas A&M University, framed as a sensationalist 'take-down' of a student's argument.","-130.0","https://www.youtube.com/shorts/1DVelujW0Kg"
"✅","m8mLGPyF67U","A high-conflict political debate video featuring Charlie Kirk using confrontational rhetoric to challenge a student's views on taxation, framed through a lens of intellectual dominance.","-130.0","https://www.youtube.com/shorts/m8mLGPyF67U"
"✅","Hhjqx-w6HkE","A compilation of high-conflict, controversial interview segments from Piers Morgan's talk show, specifically curated to highlight aggressive exchanges and sensationalist behavior.","-130.0","https://www.youtube.com/watch?v=Hhjqx-w6HkE"
"✅","mOUYgELz5rM","A high-conflict debate featuring the 'Fresh & Fit' duo focusing on polarizing topics such as modern dating dynamics, gender roles, and the 'Manosphere' perspective on nuclear families.","-130.0","https://www.youtube.com/watch?v=mOUYgELz5rM"
"✅","JrqSdgHWSgU","A high-conflict interview segment featuring controversial influencer Andrew Tate and journalist Piers Morgan discussing the Israel-Palestine conflict. The content is framed using sensationalist language to maximize engagement through geopolitical controversy.","-130.0","https://www.youtube.com/shorts/JrqSdgHWSgU"
"✅","O78EsAgu2t4","A high-engagement, polarizing video snippet featuring Charlie Kirk delivering a 'hot take' on Simone Biles and the Olympics, specifically designed to trigger emotional responses through controversial framing.","-136.0","https://www.youtube.com/shorts/O78EsAgu2t4"
"✅","CIFQxEANiO8","A high-conflict segment from the Fresh & Fit podcast featuring Mikki Mase, centered around a verbal altercation and the subsequent removal of a guest.","-150.0","https://www.youtube.com/shorts/CIFQxEANiO8"
